id,propositions,nl_sentence,dataset_tl
4133,"['make_way_to_house', 'be_near_tree']",repeatedly make way to house and at any time be near tree,G(F(make_way_to_house))&F(be_near_tree)
5097,"['make_contact_with_house', 'pass_by_house']",whenever make contact with house and when possible pass by house,F(make_contact_with_house)&F(pass_by_house)
5400,"['go_to_apple', 'show_yourself_near_house']",whenever go to apple or whenever show yourself near house,F(go_to_apple)|F(show_yourself_near_house)
2486,"['advance_to_tree', 'drop_pear']",advance to tree or drop pear,advance_to_tree|drop_pear
1619,"['venture_to_house', 'go_by_waste_bin']",when possible venture to house and go by waste bin,F(venture_to_house)&go_by_waste_bin
3200,"['walk_to_flag', 'go_to_flag']",when possible walk to flag or whenever go to flag,F(walk_to_flag)|F(go_to_flag)
3228,"['journey_to_flag', 'reach_tree']",whenever journey to flag or at some time reach tree,F(journey_to_flag)|F(reach_tree)
3436,"['travel_to_waste_bin', 'grasp_orange']",travel to waste bin or grasp orange,travel_to_waste_bin|grasp_orange
2302,"['get_to_flag', 'keep_apple']",at any time get to flag or keep apple,F(get_to_flag)|keep_apple
1906,"['proceed_to_flag', 'make_way_to_house']",at some time proceed to flag or repeatedly make way to house,F(proceed_to_flag)|G(F(make_way_to_house))
4010,"['get_close_tree', 'come_home']",when possible get close tree and at any time come home,F(get_close_tree)&F(come_home)
1470,"['drop_apple', 'venture_towards_house']",never drop apple and venture towards house,G(~(drop_apple))&venture_towards_house
1368,"['withhold_apple', 'withhold_apple']",at some time withhold apple or at any time withhold apple,F(withhold_apple)|F(withhold_apple)
5476,"['get_close_flag', 'pick_up_peach']",at any time get close flag or when possible pick up peach,F(get_close_flag)|F(pick_up_peach)
2265,"['make_your_way_flag', 'grasp_apple']",whenever make your way flag or at some time grasp apple,F(make_your_way_flag)|F(grasp_apple)
1520,"['go_by_waste_basket', 'go_by_waste_basket']",at any time go by waste basket or at some time go by waste basket,F(go_by_waste_basket)|F(go_by_waste_basket)
3140,"['get_close_tree', 'snatch_pear']",at any time get close tree can infer that whenever snatch pear,F(get_close_tree)->F(snatch_pear)
2003,"['clutch_orange', 'let_go_pear']",at any time clutch orange means that don't let go pear,F(clutch_orange)->~(let_go_pear)
3900,"['get_apple', 'put_in_apple_bucket']",at some time get apple until put in apple bucket,F(get_apple)Uput_in_apple_bucket
2069,"['migrate_to_tree', 'spend_time_at_tree']",at some time migrate to tree and when possible spend time at tree,F(migrate_to_tree)&F(spend_time_at_tree)
5993,"['pass_by_waste_receptacle', 'visit_waste_basket']",at some time pass by waste receptacle or when possible visit waste basket,F(pass_by_waste_receptacle)|F(visit_waste_basket)
3484,"['let_go_orange', 'make_way_for_tree']",never let go orange until at some time make way for tree,G(~(let_go_orange))UF(make_way_for_tree)
4202,"['take_apple', 'tax_apple']",take apple means that when possible tax apple,take_apple->F(tax_apple)
1627,"['go_by_waste_bin', 'go_by_waste_basket']",go by waste bin and at some time go by waste basket,go_by_waste_bin&F(go_by_waste_basket)
2848,"['acquire_pear', 'start_going_to_tree']",at any time acquire pear or whenever start going to tree,F(acquire_pear)|F(start_going_to_tree)
1077,"['present_at_flag', 'drop_apple']",whenever present at flag or never drop apple,F(present_at_flag)|G(~(drop_apple))
2035,"['stop_by_house', 'make_way_waste_basket']",whenever stop by house or when possible make way waste basket,F(stop_by_house)|F(make_way_waste_basket)
4019,"['be_at_house', 'seize_orange']",at any time be at house means that when possible seize orange,F(be_at_house)->F(seize_orange)
1346,"['let_go_orange', 'pick_up_anything']",never let go orange or don't pick up anything,G(~(let_go_orange))|~(F(pick_up_anything))
1031,"['reach_flag', 'drop_apple']",when possible reach flag and never drop apple,F(reach_flag)&G(~(drop_apple))
1111,"['start_going_to_house', 'start_going_to_house']",at any time start going to house or when possible start going to house,F(start_going_to_house)|F(start_going_to_house)
2098,"['come_to_tree', 'make_way_waste_basket']",come to tree means that when possible make way waste basket,come_to_tree->F(make_way_waste_basket)
5106,"['go_to_house', 'set_out_to_house']",at some time go to house until whenever set out to house,F(go_to_house)UF(set_out_to_house)
5480,"['gather_apple', 'withold_apple']","when gather apple , at any time withold apple",gather_apple->F(withold_apple)
1336,"['have_pear', 'travel_to_apple']",whenever have pear or travel to apple,F(have_pear)|travel_to_apple
2675,"['hold_apple', 'approach_tree']",hold apple or approach tree,hold_apple|approach_tree
1991,"['present_at_flag', 'drop_apple']",at some time present at flag until never drop apple,F(present_at_flag)UG(~(drop_apple))
4182,"['procure_pear', 'take_possession_of_bear']",when possible procure pear and at some time take possession of bear,F(procure_pear)&F(take_possession_of_bear)
2674,"['procure_pear', 'grab_apple']",whenever procure pear and whenever grab apple,F(procure_pear)&F(grab_apple)
1026,"['visit_trash_bin', 'approach_trash_can']",at any time visit trash bin and approach trash can,F(visit_trash_bin)&approach_trash_can
3781,"['put_in_bucket', 'go_to_tree']",put in bucket or at any time go to tree,put_in_bucket|F(go_to_tree)
1987,"['move_past_trash_can', 'venture_to_trash_can']",when possible move past trash can or venture to trash can,F(move_past_trash_can)|venture_to_trash_can
1349,"['go_near_house', 'lay_hold_of_apple']",when possible go near house and at some time lay hold of apple,F(go_near_house)&F(lay_hold_of_apple)
4703,"['grab_pear', 'travel_by_tree']",at any time grab pear or at some time travel by tree,F(grab_pear)|F(travel_by_tree)
1904,"['stay', 'go_to_trashcan']",always stay and when possible go to trashcan,G(stay)&F(go_to_trashcan)
3182,"['reach_tree', 'pick_up_peach']",whenever reach tree until at some time pick up peach,F(reach_tree)UF(pick_up_peach)
3339,"['pick_up_orange', 'journey_to_house']",pick up orange or at any time journey to house,pick_up_orange|F(journey_to_house)
1985,"['reach_flag', 'withhold_apple']",when possible reach flag and whenever withhold apple,F(reach_flag)&F(withhold_apple)
1059,"['got_to_house', 'get_to_flag']",whenever got to house or at any time get to flag,F(got_to_house)|F(get_to_flag)
1819,"['visit_flag', 'visit_tree']",at some time visit flag or visit tree,F(visit_flag)|visit_tree
3162,"['gather_orange', 'grasp_orange']",gather orange or grasp orange,gather_orange|grasp_orange
1094,"['migrate_to_tree', 'go_to_trashcan']",when possible migrate to tree or at some time go to trashcan,F(migrate_to_tree)|F(go_to_trashcan)
3018,"['snatch_pear', 'put_in_apple_bucket']",at any time snatch pear and put in apple bucket,F(snatch_pear)&put_in_apple_bucket
1816,"['capture_orange', 'go_to_flag']",capture orange and whenever go to flag,capture_orange&F(go_to_flag)
3773,"['have_apple', 'going_to_tree']",always have apple or going to tree,G(have_apple)|going_to_tree
4852,"['proceed_to_flag', 'go_to_apple']",at some time proceed to flag or when possible go to apple,F(proceed_to_flag)|F(go_to_apple)
4166,"['be_near_tree', 'get_hold_apple']",at any time be near tree and when possible get hold apple,F(be_near_tree)&F(get_hold_apple)
4487,"['get_hold_orange', 'set_out_to_house']",when possible get hold orange and when possible set out to house,F(get_hold_orange)&F(set_out_to_house)
1497,"['withhold_apple', 'go_by_waste_basket']",at some time withhold apple and at any time go by waste basket,F(withhold_apple)&F(go_by_waste_basket)
1196,"['go_by_waste_bin', 'secure_apple']",go by waste bin or secure apple,go_by_waste_bin|secure_apple
1833,"['snag_orange', 'make_way_waste_basket']",at some time snag orange or at some time make way waste basket,F(snag_orange)|F(make_way_waste_basket)
3262,"['go_to_pear', 'go_to_trash_receptacle']",repeatedly go to pear or whenever go to trash receptacle,G(F(go_to_pear))|F(go_to_trash_receptacle)
2097,"['migrate_to_tree', 'go_to_trashcan']",at any time migrate to tree and when possible go to trashcan,F(migrate_to_tree)&F(go_to_trashcan)
4051,"['put_in_apple_bucket', 'come_home']",put in apple bucket and at any time come home,put_in_apple_bucket&F(come_home)
5910,"['reach_trash_can', 'pick_up_anything']",reach trash can until don't pick up anything,reach_trash_canU~(F(pick_up_anything))
1395,"['present_at_flag', 'secure_apple']",whenever present at flag and secure apple,F(present_at_flag)&secure_apple
4128,"['go_to_waste_basket', 'hold_orange']",repeatedly go to waste basket until hold orange,G(F(go_to_waste_basket))Uhold_orange
5431,"['gather_apple', 'proceed_to_house']",gather apple until at any time proceed to house,gather_appleUF(proceed_to_house)
5458,"['getting_pear', 'walk_to_flag']",whenever getting pear until at some time walk to flag,F(getting_pear)UF(walk_to_flag)
5496,"['gather_apple', 'put_in_apple_bucket']",gather apple and put in apple bucket,gather_apple&put_in_apple_bucket
2488,"['visit_house', 'go_to_orange']",when possible visit house or go to orange,F(visit_house)|go_to_orange
1043,"['venture_to_house', 'present_at_flag']",when possible venture to house or when possible present at flag,F(venture_to_house)|F(present_at_flag)
4605,"['be_at_house', 'travel_to_trash_can']",at any time be at house or when possible travel to trash can,F(be_at_house)|F(travel_to_trash_can)
5640,"['pass_by_trash_bin', 'move_forward_trash_can']","when at any time pass by trash bin , at some time move forward trash can",F(pass_by_trash_bin)->F(move_forward_trash_can)
4726,"['haul_pear', 'procure_orange']",at any time haul pear or whenever procure orange,F(haul_pear)|F(procure_orange)
1642,"['migrate_to_tree', 'grab_flag']",whenever migrate to tree or whenever grab flag,F(migrate_to_tree)|F(grab_flag)
1277,"['make_contact_with_house', 'pick_up_fruit']",at any time make contact with house or pick up fruit,F(make_contact_with_house)|pick_up_fruit
1095,"['go_to_peach', 'get_hold_of_orange']",at any time go to peach or at any time get hold of orange,F(go_to_peach)|F(get_hold_of_orange)
4293,"['grasp_apple', 'journey_to_flag']",at some time grasp apple until at any time journey to flag,F(grasp_apple)UF(journey_to_flag)
4756,"['go_to_peach', 'snatch_pear']",at some time go to peach or at any time snatch pear,F(go_to_peach)|F(snatch_pear)
4554,"['approach_flag', 'go_near_pear']",at some time approach flag and at some time go near pear,F(approach_flag)&F(go_near_pear)
4144,"['pass_by_house', 'scoop_up_apple']",at some time pass by house until at some time scoop up apple,F(pass_by_house)UF(scoop_up_apple)
4456,"['pick_up_fruit', 'grab_orange']",pick up fruit or at some time grab orange,pick_up_fruit|F(grab_orange)
3901,"['move_towards_trash_can', 'go_to_tree']",move towards trash can or when possible go to tree,move_towards_trash_can|F(go_to_tree)
1376,"['pick_up_pear', 'reach_tree']",pick up pear or whenever reach tree,pick_up_pear|F(reach_tree)
1822,"['acquire_orange', 'travel_by_tree']",acquire orange or at any time travel by tree,acquire_orange|F(travel_by_tree)
1401,"['proceed_to_tree', 'pick_up_flag']",at some time proceed to tree or pick up flag,F(proceed_to_tree)|pick_up_flag
1605,"['be_in_houses_vicinity', 'lay_hold_of_apple']",at some time be in house's vicinity or at some time lay hold of apple,F(be_in_houses_vicinity)|F(lay_hold_of_apple)
1517,"['walk_to_flag', 'reach_trash_can']",when possible walk to flag and reach trash can,F(walk_to_flag)&reach_trash_can
4553,"['contact_house', 'let_go_apple']",at any time contact house or never let go apple,F(contact_house)|G(~(let_go_apple))
5134,"['move_past_trash_can', 'show_yourself_near_house']",at some time move past trash can or at some time show yourself near house,F(move_past_trash_can)|F(show_yourself_near_house)
1072,"['reach_flag', 'secure_apple']",whenever reach flag and secure apple,F(reach_flag)&secure_apple
4619,"['haul_pear', 'arrive_at_tree']",whenever haul pear and at some time arrive at tree,F(haul_pear)&F(arrive_at_tree)
2969,"['get_close_tree', 'let_go_apple']",whenever get close tree means that whenever let go apple,F(get_close_tree)->F(let_go_apple)
1472,"['go_by_waste_bin', 'venture_towards_house']",go by waste bin or venture towards house,go_by_waste_bin|venture_towards_house
4709,"['collect_pear', 'go_to_tree']",collect pear and when possible go to tree,collect_pear&F(go_to_tree)
3827,"['hold_on_to_pear', 'drop_apple']",hold on to pear and never drop apple,hold_on_to_pear&G(~(drop_apple))
1379,"['drop_apple', 'go_by_waste_bin']",never drop apple and go by waste bin,G(~(drop_apple))&go_by_waste_bin
5223,"['hold_on_to_pear', 'get_pear']",hold on to pear and whenever get pear,hold_on_to_pear&F(get_pear)
1521,"['go_to_home', 'make_way_to_house']",at some time go to home or repeatedly make way to house,F(go_to_home)|G(F(make_way_to_house))
5295,"['gather_orange', 'visit_flag']",gather orange and whenever visit flag,gather_orange&F(visit_flag)
4062,"['go_visit_flag', 'drop_orange']",go visit flag and never drop orange,go_visit_flag&G(~(drop_orange))
1039,"['present_at_flag', 'secure_apple']",at some time present at flag or secure apple,F(present_at_flag)|secure_apple
5031,"['get_hold_of_pear', 'travel_house']",get hold of pear and at any time travel house,get_hold_of_pear&F(travel_house)
4641,"['let_go_pear', 'travel_by_tree']",don't let go pear or at any time travel by tree,~(let_go_pear)|F(travel_by_tree)
5737,"['get_close_flag', 'go_to_pear']",whenever get close flag can infer that repeatedly go to pear,F(get_close_flag)->G(F(go_to_pear))
1281,"['let_go_apple', 'pick_up_fruit']",whenever let go apple or pick up fruit,F(let_go_apple)|pick_up_fruit
1146,"['go_by_waste_bin', 'reach_flag']",go by waste bin and at some time reach flag,go_by_waste_bin&F(reach_flag)
1758,"['venture_to_house', 'go_by_waste_basket']",whenever venture to house and whenever go by waste basket,F(venture_to_house)&F(go_by_waste_basket)
2289,"['show_yourself_near_house', 'take_to_trash_can']",whenever show yourself near house or take to trash can,F(show_yourself_near_house)|take_to_trash_can
2804,"['tax_apple', 'seize_apple']",whenever tax apple or seize apple,F(tax_apple)|seize_apple
5704,"['come_home', 'proceed_to_house']",at any time come home until at some time proceed to house,F(come_home)UF(proceed_to_house)
2357,"['drop_pear', 'move_to_trashcan']",drop pear or move to trashcan,drop_pear|move_to_trashcan
1937,"['travel_to_waste_bin', 'procure_orange']",travel to waste bin or at any time procure orange,travel_to_waste_bin|F(procure_orange)
4343,"['pass_by_house', 'go_to_flag']",when possible pass by house means that at any time go to flag,F(pass_by_house)->F(go_to_flag)
5547,"['travel_to_trash_can', 'make_your_way_flag']",when possible travel to trash can and when possible make your way flag,F(travel_to_trash_can)&F(make_your_way_flag)
1925,"['grip_apple', 'stop_by_house']",grip apple and at some time stop by house,grip_apple&F(stop_by_house)
5301,"['tax_apple', 'have_possession_of_apple']",at any time tax apple or at any time have possession of apple,F(tax_apple)|F(have_possession_of_apple)
4314,"['move_towards_trash_can', 'be_at_flag']",move towards trash can until when possible be at flag,move_towards_trash_canUF(be_at_flag)
2305,"['grab_flag', 'keep_apple']",whenever grab flag or keep apple,F(grab_flag)|keep_apple
4280,"['make_way_to_house', 'acquire_pear']","if repeatedly make way to house , when possible acquire pear",G(F(make_way_to_house))->F(acquire_pear)
1070,"['drop_apple', 'present_at_flag']",never drop apple and whenever present at flag,G(~(drop_apple))&F(present_at_flag)
1171,"['moving', 'make_to_flag']",always moving or when possible make to flag,G(moving)|F(make_to_flag)
2216,"['visit_trash_bin', 'start_going_to_house']",whenever visit trash bin and at any time start going to house,F(visit_trash_bin)&F(start_going_to_house)
1454,"['go_by_waste_bin', 'secure_apple']",go by waste bin and secure apple,go_by_waste_bin&secure_apple
1888,"['venture_to_house', 'venture_to_house']",when possible venture to house or at some time venture to house,F(venture_to_house)|F(venture_to_house)
4159,"['scoop_up_apple', 'visit_tree']",when possible scoop up apple or visit tree,F(scoop_up_apple)|visit_tree
5613,"['contact_house', 'advance_to_house']",at some time contact house or when possible advance to house,F(contact_house)|F(advance_to_house)
1089,"['migrate_to_tree', 'go_to_transh_can']",whenever migrate to tree and at some time go to transh can,F(migrate_to_tree)&F(go_to_transh_can)
1754,"['make_contact_flag', 'come_home']",whenever make contact flag or at any time come home,F(make_contact_flag)|F(come_home)
4581,"['go_to_apple', 'get_close_tree']",whenever go to apple or at some time get close tree,F(go_to_apple)|F(get_close_tree)
1091,"['grab_flag', 'take_to_trashcan']",at any time grab flag or take to trashcan,F(grab_flag)|take_to_trashcan
1732,"['travel_to_tree', 'collect_apple']","if travel to tree , at some time collect apple",travel_to_tree->F(collect_apple)
1457,"['withdraw_pear', 'grip_apple']",whenever withdraw pear or grip apple,F(withdraw_pear)|grip_apple
4729,"['make_way_for_tree', 'pick_up_apple']",whenever make way for tree or at any time pick up apple,F(make_way_for_tree)|F(pick_up_apple)
3611,"['move', 'move_past_trash_can']",always move or at some time move past trash can,G(move)|F(move_past_trash_can)
5160,"['go_to_apple', 'grab_pear']",at any time go to apple or at some time grab pear,F(go_to_apple)|F(grab_pear)
2359,"['stand_by_tree', 'drop_apple']",at any time stand by tree or never drop apple,F(stand_by_tree)|G(~(drop_apple))
4499,"['go_to', 'pear_bin', 'yield_pear']",at any time go to pear bin or at some time yield pear,F(go_topear_bin)|F(yield_pear)
5008,"['move_to_house', 'acquire_apple']",move to house or acquire apple,move_to_house|acquire_apple
2055,"['procure_orange', 'go_to_trash_receptacle']",when possible procure orange until whenever go to trash receptacle,F(procure_orange)UF(go_to_trash_receptacle)
2954,"['capture_pear', 'tax_apple']",at some time capture pear or at any time tax apple,F(capture_pear)|F(tax_apple)
3874,"['be_at_house', 'approach_flag']","if when possible be at house , at any time approach flag",F(be_at_house)->F(approach_flag)
1504,"['grab_tree', 'have_pear']","if repeatedly grab tree , whenever have pear",G(F(grab_tree))->F(have_pear)
4413,"['gather_apple', 'hold_orange']",gather apple and hold orange,gather_apple&hold_orange
2152,"['journey_to_flag', 'venture_to_waste_basket']",at some time journey to flag can infer that when possible venture to waste basket,F(journey_to_flag)->F(venture_to_waste_basket)
3366,"['pick_up_apple', 'venture_to_flag']","when whenever pick up apple , at some time venture to flag",F(pick_up_apple)->F(venture_to_flag)
4761,"['get_orange', 'make_contact_with_house']",at some time get orange and at some time make contact with house,F(get_orange)&F(make_contact_with_house)
1474,"['venture_to_house', 'bring_pear']",whenever venture to house until whenever bring pear,F(venture_to_house)UF(bring_pear)
2531,"['hold_apple', 'scoop_up_apple']",hold apple until when possible scoop up apple,hold_appleUF(scoop_up_apple)
2946,"['obtain_apple', 'move_past_trash_can']",when possible obtain apple until at some time move past trash can,F(obtain_apple)UF(move_past_trash_can)
1566,"['withhold_apple', 'venture_towards_house']",at some time withhold apple until venture towards house,F(withhold_apple)Uventure_towards_house
5299,"['make_contact_with_house', 'go_near_pear']",whenever make contact with house or when possible go near pear,F(make_contact_with_house)|F(go_near_pear)
1583,"['venture_towards_house', 'reach_flag']",venture towards house or when possible reach flag,venture_towards_house|F(reach_flag)
4014,"['seize_pear', 'pass_by_trash_bin']",whenever seize pear and at some time pass by trash bin,F(seize_pear)&F(pass_by_trash_bin)
1235,"['secure_apple', 'venture_towards_house']",secure apple or venture towards house,secure_apple|venture_towards_house
3800,"['arrive_at_tree', 'go_to_flag']",at some time arrive at tree and at any time go to flag,F(arrive_at_tree)&F(go_to_flag)
3915,"['get_hold_of_pear', 'get_apple']",get hold of pear and whenever get apple,get_hold_of_pear&F(get_apple)
3672,"['go_visit_house', 'move_to_house']","when whenever go visit house , move to house",F(go_visit_house)->move_to_house
1768,"['venture_to_house', 'venture_towards_house']",at some time venture to house or venture towards house,F(venture_to_house)|venture_towards_house
2897,"['acquire_orange', 'put_in_apple_bucket']",acquire orange until put in apple bucket,acquire_orangeUput_in_apple_bucket
1887,"['grab_tree', 'journey_by_flag']",repeatedly grab tree or at some time journey by flag,G(F(grab_tree))|F(journey_by_flag)
3745,"['let_go_apple', 'go_near_pear']",never let go apple or when possible go near pear,G(~(let_go_apple))|F(go_near_pear)
1913,"['withhold_apple', 'withhold_apple']",at some time withhold apple until at any time withhold apple,F(withhold_apple)UF(withhold_apple)
3908,"['travel_to_flag', 'capture_orange']",at any time travel to flag and capture orange,F(travel_to_flag)&capture_orange
4259,"['scoop_up_apple', 'seize_pear']",at any time scoop up apple and at any time seize pear,F(scoop_up_apple)&F(seize_pear)
2344,"['let_go_orange', 'go_to_transh_can']",do not let go orange and at some time go to transh can,~(let_go_orange)&F(go_to_transh_can)
5186,"['drop_apple', 'touch_flag']",never drop apple and forever touch flag,G(~(drop_apple))&G(touch_flag)
2235,"['drop_pear', 'capture_orange']",never drop pear or capture orange,G(~(drop_pear))|capture_orange
3083,"['pick_up_flag', 'seize_orange']",pick up flag or at any time seize orange,pick_up_flag|F(seize_orange)
4017,"['travel_to_waste_bin', 'drop_orange']",travel to waste bin or drop orange,travel_to_waste_bin|drop_orange
3654,"['proceed_to_house', 'gather_apple']",whenever proceed to house or gather apple,F(proceed_to_house)|gather_apple
4677,"['go_past_flag', 'pick_up_orange']",at some time go past flag and pick up orange,F(go_past_flag)&pick_up_orange
2880,"['take_apple', 'pick_up_peach']",take apple and at some time pick up peach,take_apple&F(pick_up_peach)
1581,"['bring_pear', 'present_at_flag']",when possible bring pear or at some time present at flag,F(bring_pear)|F(present_at_flag)
1137,"['present_at_flag', 'drop_apple']",at some time present at flag or never drop apple,F(present_at_flag)|G(~(drop_apple))
1049,"['hold_orange', 'going_to_tree']",hold orange and going to tree,hold_orange&going_to_tree
2218,"['withdraw_pear', 'grip_apple']",at any time withdraw pear or grip apple,F(withdraw_pear)|grip_apple
5744,"['let_go_apple', 'grab_pear']",never let go apple can infer that at some time grab pear,G(~(let_go_apple))->F(grab_pear)
2300,"['lay_hold_of_apple', 'go_to_orange_bin']",at any time lay hold of apple or go to orange bin,F(lay_hold_of_apple)|go_to_orange_bin
5339,"['acquire_pear', 'going_to_house']",at some time acquire pear or at any time going to house,F(acquire_pear)|F(going_to_house)
4869,"['hold_onto_orange', 'let_go_apple']",forever hold onto orange or when possible let go apple,G(hold_onto_orange)|F(let_go_apple)
5895,"['have_apple', 'visit_flag']",forever have apple and at any time visit flag,G(have_apple)&F(visit_flag)
4567,"['take_to_tree', 'scoop_up_pear']",take to tree or whenever scoop up pear,take_to_tree|F(scoop_up_pear)
4544,"['contact_house', 'get_hold_orange']",whenever contact house or at any time get hold orange,F(contact_house)|F(get_hold_orange)
2058,"['go_to_apple_trashcan', 'spend_time_at_tree']",repeatedly go to apple trashcan or when possible spend time at tree,G(F(go_to_apple_trashcan))|F(spend_time_at_tree)
5409,"['move_to_trash_can', 'make_your_way_flag']",move to trash can and when possible make your way flag,move_to_trash_can&F(make_your_way_flag)
3777,"['scoop_up_apple', 'reach_tree']",when possible scoop up apple or at any time reach tree,F(scoop_up_apple)|F(reach_tree)
1119,"['withhold_apple', 'drop_apple']",at any time withhold apple and never drop apple,F(withhold_apple)&G(~(drop_apple))
1089,"['venture_towards_house', 'secure_apple']",venture towards house or secure apple,venture_towards_house|secure_apple
4328,"['pick_up_apple', 'take_apple']",at any time pick up apple or take apple,F(pick_up_apple)|take_apple
1834,"['go_to_transh_can', 'keep_apple']",whenever go to transh can or keep apple,F(go_to_transh_can)|keep_apple
1682,"['journey_by_house', 'journey_to_flag']",when possible journey by house or when possible journey to flag,F(journey_by_house)|F(journey_to_flag)
1440,"['present_at_flag', 'venture_to_house']",whenever present at flag or at some time venture to house,F(present_at_flag)|F(venture_to_house)
5016,"['grab_orange', 'contact_flag']",at any time grab orange and at any time contact flag,F(grab_orange)&F(contact_flag)
1198,"['come_to_tree', 'start_going_to_house']",come to tree or at some time start going to house,come_to_tree|F(start_going_to_house)
1494,"['have_in_orange', 'get_to_flag']",forever have in orange or whenever get to flag,G(have_in_orange)|F(get_to_flag)
1251,"['spend_time_at_tree', 'let_go_pear']",whenever spend time at tree or do not let go pear,F(spend_time_at_tree)|~(let_go_pear)
5874,"['have_possession_of_apple', 'drop_pear']",whenever have possession of apple or never drop pear,F(have_possession_of_apple)|G(~(drop_pear))
1076,"['bring_pear', 'secure_apple']",when possible bring pear or secure apple,F(bring_pear)|secure_apple
3706,"['set_out_to_house', 'put_in_bucket']",when possible set out to house or put in bucket,F(set_out_to_house)|put_in_bucket
1135,"['venture_to_house', 'drop_apple']",when possible venture to house or never drop apple,F(venture_to_house)|G(~(drop_apple))
1075,"['go_to_house', 'get_hold_orange']",when possible go to house and when possible get hold orange,F(go_to_house)&F(get_hold_orange)
4045,"['travel_by_tree', 'let_go_apple']",at any time travel by tree or at any time let go apple,F(travel_by_tree)|F(let_go_apple)
5888,"['grab_orange', 'pass_by_house']",at some time grab orange or whenever pass by house,F(grab_orange)|F(pass_by_house)
4076,"['move_towards_trash_can', 'grasp_pear']",move towards trash can or at some time grasp pear,move_towards_trash_can|F(grasp_pear)
1413,"['go_to_apple_trashcan', 'snatch_up_pear']",repeatedly go to apple trashcan and snatch up pear,G(F(go_to_apple_trashcan))&snatch_up_pear
1316,"['go_by_waste_basket', 'secure_apple']",at some time go by waste basket or secure apple,F(go_by_waste_basket)|secure_apple
2566,"['pass_by_house', 'get_orange']",at some time pass by house or at any time get orange,F(pass_by_house)|F(get_orange)
4735,"['seize_orange', 'capture_pear']",whenever seize orange and whenever capture pear,F(seize_orange)&F(capture_pear)
1819,"['go_by_waste_bin', 'drop_apple']",go by waste bin can infer that never drop apple,go_by_waste_bin->G(~(drop_apple))
3881,"['pick_up_apple', 'collect_pear']",at any time pick up apple and collect pear,F(pick_up_apple)&collect_pear
1724,"['walk_near_flag', 'get_apple']",at any time walk near flag and at some time get apple,F(walk_near_flag)&F(get_apple)
2308,"['going_to_flag', 'scoop_up_pear']",at any time going to flag or at some time scoop up pear,F(going_to_flag)|F(scoop_up_pear)
2371,"['acquire_pear', 'take_pear']","when at some time acquire pear , take pear",F(acquire_pear)->take_pear
4468,"['move_to_house', 'seize_orange']",move to house until at some time seize orange,move_to_houseUF(seize_orange)
1645,"['venture_to_house', 'go_by_waste_basket']",whenever venture to house until when possible go by waste basket,F(venture_to_house)UF(go_by_waste_basket)
1429,"['reach_flag', 'venture_towards_house']",at any time reach flag and venture towards house,F(reach_flag)&venture_towards_house
1837,"['go_by_waste_basket', 'secure_apple']",when possible go by waste basket and secure apple,F(go_by_waste_basket)&secure_apple
2431,"['let_go_orange', 'lay_hold_of_apple']","when don't let go orange , when possible lay hold of apple",~(let_go_orange)->F(lay_hold_of_apple)
1070,"['go_to_trash_receptacle', 'proceed_to_flag']",whenever go to trash receptacle or at some time proceed to flag,F(go_to_trash_receptacle)|F(proceed_to_flag)
4787,"['let_go_apple', 'go_to_trash_can']",whenever let go apple until at any time go to trash can,F(let_go_apple)UF(go_to_trash_can)
3584,"['drop_by', 'journey_to_tree']",drop by and at some time journey to tree,drop_by&F(journey_to_tree)
4870,"['pick_up_pear', 'travel_to_waste_bin']",pick up pear and travel to waste bin,pick_up_pear&travel_to_waste_bin
4921,"['go_past_house', 'go_to_flag']",at any time go past house or at some time go to flag,F(go_past_house)|F(go_to_flag)
5095,"['go_to_apple', 'journey_by_house']",at any time go to apple and at some time journey by house,F(go_to_apple)&F(journey_by_house)
3747,"['travel_to_tree', 'start_going_to_tree']",travel to tree or at some time start going to tree,travel_to_tree|F(start_going_to_tree)
1413,"['bring_pear', 'withhold_apple']",at some time bring pear or at any time withhold apple,F(bring_pear)|F(withhold_apple)
5637,"['make_your_way_flag', 'drop_orange']",at any time make your way flag or never drop orange,F(make_your_way_flag)|G(~(drop_orange))
2314,"['spend_time_at_tree', 'snatch_up_pear']","if at any time spend time at tree , snatch up pear",F(spend_time_at_tree)->snatch_up_pear
5998,"['let_go', 'gather_apple']",never let go or gather apple,G(~(let_go))|gather_apple
1699,"['make_way_waste_basket', 'have_pear']",whenever make way waste basket or at any time have pear,F(make_way_waste_basket)|F(have_pear)
4035,"['journey_to_house', 'venture_to_flag']",when possible journey to house and when possible venture to flag,F(journey_to_house)&F(venture_to_flag)
4929,"['come_home', 'pick_up_flag']",at some time come home until pick up flag,F(come_home)Upick_up_flag
2646,"['pass_by_trash_bin', 'let_go_pear']",at some time pass by trash bin until do not let go pear,F(pass_by_trash_bin)U~(let_go_pear)
3184,"['walk_to_flag', 'get_to_cup']",when possible walk to flag and when possible get to cup,F(walk_to_flag)&F(get_to_cup)
4402,"['acquire_pear', 'go_to_pear']",whenever acquire pear or repeatedly go to pear,F(acquire_pear)|G(F(go_to_pear))
5781,"['go_by_trash_can', 'go_home']",always go by trash can or when possible go home,G(go_by_trash_can)|F(go_home)
2618,"['move_forward_trash_can', 'take_apple']",when possible move forward trash can or take apple,F(move_forward_trash_can)|take_apple
